symbol,market
"HTW","UPCOM"
"HU1","HOSE"
"HU3","HOSE"
"HU4","UPCOM"
"HU6","UPCOM"
"HUB","HOSE"
"HUG","UPCOM"
"HUT","HNX"
"HVA","UPCOM"
"HVG","UPCOM"
"HVH","HOSE"
"HVN","HOSE"
"HVT","HNX"
"HVX","HOSE"
"HWS","UPCOM"
"IBC","HOSE"
"IBD","UPCOM"
"ICC","UPCOM"
"ICF","UPCOM"
"ICG","HNX"
"ICI","UPCOM"
"ICN","UPCOM"
"ICT","HOSE"
"IDC","HNX"
"IDI","HOSE"
"IDJ","HNX"
"IDP","UPCOM"
"IDV","HNX"
"IFS","UPCOM"
"IHK","UPCOM"
"IJC","HOSE"
"ILA","UPCOM"
"ILB","HOSE"
"ILC","UPCOM"
"ILS","UPCOM"
"IME","UPCOM"
"IMP","HOSE"
"IN4","UPCOM"
"INC","HNX"
"INN","HNX"
"IPA","HNX"
"IRC","UPCOM"
"ISG","UPCOM"
"ISH","UPCOM"
"IST","UPCOM"
"ITA","HOSE"
"ITC","HOSE"
"ITD","HOSE"
"ITQ","HNX"
"ITS","UPCOM"
"IVS","HNX"
"JOS","UPCOM"
"JVC","HOSE"
"KAC","UPCOM"
"KBC","HOSE"
"KCB","UPCOM"
"KCE","UPCOM"
"KDC","HOSE"
"KDH","HOSE"
"KDM","HNX"
"KGM","UPCOM"
"KHA","UPCOM"
"KHD","UPCOM"
"KHG","HOSE"
"KHL","UPCOM"
"KHP","HOSE"
"KHS","HNX"
"KHW","UPCOM"
"KIP","UPCOM"
"KKC","HNX"
"KLB","UPCOM"
"KLF","HNX"
"KLM","UPCOM"
"KMR","HOSE"
"KMT","HNX"
"KOS","HOSE"
"KPF","HOSE"
"KSB","HOSE"
"KSD","HNX"
"KSF","HNX"
"KSH","UPCOM"
"KSQ","HNX"
"KST","HNX"
"KSV","HNX"
"KTC","UPCOM"
"KTL","UPCOM"
"KTS","HNX"
"KTT","HNX"
"KVC","HNX"
"L10","HOSE"
"L12","UPCOM"
"L14","HNX"
"L18","HNX"
"L35","HNX"
"L40","HNX"
"L43","HNX"
"L44","UPCOM"
"L45","UPCOM"
"L61","HNX"
"L62","HNX"
"L63","UPCOM"
"LAF","HOSE"
"LAI","UPCOM"
"LAS","HNX"
"LAW","UPCOM"
"LBC","UPCOM"
"LBE","HNX"
"LBM","HOSE"
"LCC","UPCOM"
"LCD","HNX"
"LCG","HOSE"
"LCM","UPCOM"
"LCS","HNX"
"LCW","UPCOM"
"LDG","HOSE"
"LDP","HNX"
"LDW","UPCOM"
"LEC","HOSE"
"LG9","UPCOM"
"LGC","HOSE"
"LGL","HOSE"
"LGM","UPCOM"
"LHC","HNX"
"LHG","HOSE"
"LIC","UPCOM"
"LIG","HNX"
"LIX","HOSE"
"LKW","UPCOM"
"LLM","UPCOM"
"LM3","UPCOM"
"LM7","HNX"
"LM8","HOSE"
"LMC","UPCOM"
"LMH","UPCOM"
"LMI","UPCOM"
"LNC","UPCOM"
"LO5","UPCOM"
"LPB","HOSE"
"LPT","UPCOM"
"LQN","UPCOM"
"LSG","UPCOM"
"LSS","HOSE"
"LTC","UPCOM"
"LTG","UPCOM"
"LUT","HNX"
"LWS","UPCOM"
"M10","UPCOM"
"MA1","UPCOM"
"MAC","HNX"
"MAS","HNX"
"MBB","HOSE"
"MBG","HNX"
"MBN","UPCOM"
"MBS","HNX"
"MCC","HNX"
"MCD","UPCOM"
"MCF","HNX"
"MCG","HOSE"
"MCH","UPCOM"
"MCI","UPCOM"
"MCM","UPCOM"
"MCO","HNX"
"MCP","HOSE"
"MDA","UPCOM"
"MDC","HNX"
"MDF","UPCOM"
"MDG","HOSE"
"MEC","UPCOM"
"MED","HNX"
"MEF","UPCOM"
"MEL","HNX"
"MES","UPCOM"
"MFS","UPCOM"
"MGC","UPCOM"
"MGG","UPCOM"
"MGR","UPCOM"
"MH3","UPCOM"
"MHC","HOSE"
"MHL","HNX"
"MIC","UPCOM"
"MIE","UPCOM"
"MIG","HOSE"
"MIM","HNX"
"MKP","UPCOM"
"MKV","HNX"
"MLC","UPCOM"
"MLS","UPCOM"
"MML","UPCOM"
"MNB","UPCOM"
"MND","UPCOM"
"MPC","UPCOM"
"MPT","UPCOM"
"MPY","UPCOM"
"MQB","UPCOM"
"MQN","UPCOM"
"MRF","UPCOM"
"MSB","HOSE"
"MSH","HOSE"
"MSN","HOSE"
"MSR","UPCOM"
"MST","HNX"
"MTA","UPCOM"
"MTB","UPCOM"
"MTC","UPCOM"
"MTG","UPCOM"
"MTH","UPCOM"
"MTL","UPCOM"
"MTP","UPCOM"
"MTS","UPCOM"
"MTV","UPCOM"
"MVB","HNX"
"MVC","UPCOM"
"MVN","UPCOM"
"MWG","HOSE"
"NAB","UPCOM"
"NAC","UPCOM"
"NAF","HOSE"
"NAG","HNX"
"NAP","HNX"
"NAS","UPCOM"
"NAU","UPCOM"
"NAV","HOSE"
