symbol,name,industry,supersector,sector,subsector,listingDate,issueShare,listedValue,marketCap
"AST","Taseco Air Services Joint Stock Company","Consumer Services","Retail","General Retailers","Specialty Retailers","04/01/2018 00:00:00","45000000.0","2529000000000.00","2529000000000.0"
"ATA","NTACO Corporation","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","08/09/2009 00:00:00","11999998.0","13199997800.00","13355997774.0"
"ATB","An Thinh Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","25/08/2017 00:00:00","13884000.0","11107200000.00","11107200000.0"
"ATG","An Truong An Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","22/08/2016 00:00:00","15220000.0","35006000000.00","35097320000.0"
"ATS","Atesco Pharmaceutical Group Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Restaurants & Bars","29/03/2016 00:00:00","3500000.0","0","45150000000.0"
"AUM","Vinacafe Son Thanh Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","26/09/2016 00:00:00","1000000.0","0","10500000000.0"
"AVC","A Vuong Hydropower Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","08/01/2018 00:00:00","75052052.0","0","2897009207200.0"
"AVF","Anvifish Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","23/11/2010 00:00:00","43338000.0","26002800000.00","22925802000.0"
"B82","Joint Stock - Company No 482","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","17/03/2008 00:00:00","5000000.0","3000000000.00","2730000000.0"
"BAB","Bac A Commercial Joint Stock Bank","Banks","Banks","Banks","Banks","28/12/2017 00:00:00","813386340.0","10818038322000.00","12440744070300.0"
"BAF","BAF Vietnam Agriculture Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","03/12/2021 00:00:00","143520000.0","2755584000000.00","2755584000000.0"
"BAL","Beer - Alcohol - Beverage Packaging Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","12/01/2018 00:00:00","2000000.0","0","13800000000.0"
"BAX","Thong Nhat Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","24/03/2017 00:00:00","8200000.0","574820000000.00","574820000000.0"
"BBC","Bibica Corporation","Consumer Goods","Food & Beverage","Food Producers","Food Products","19/12/2001 00:00:00","18752687.0","1205797774100.00","1205797774100.0"
"BBH","Hoang Thach Joint Stock Bagging Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","14/05/2020 00:00:00","2047932.0","0","32357325600.0"
"BBM","Ha Noi - Nam Dinh Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","05/01/2018 00:00:00","2000000.0","18000000000.00","18000000000.0"
"BBS","VICEM Packing But Son Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","28/12/2005 00:00:00","6000000.0","0","63000000000.0"
"BBT","Bach Tuyet Cotton Corporation","Consumer Goods","Personal & Household Goods","Personal Goods","Personal Products","12/06/2018 00:00:00","9800000.0","85260000000.00","85260000000.0"
"BCA","B.C.H Joint Stock Company","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","08/09/2021 00:00:00","19000000.0","87400000000.00","87001000000.0"
"BCB","397 Joint Stock Company","Basic Materials","Basic Resources","Mining","Coal","29/10/2018 00:00:00","5000000.0","0","2000000000.0"
